objid,objtype,u,g,r,i,z,redshift,redshift_err
1237646794381525062,STAR,17.7178,16.05344,15.16819,14.89321,14.61744,3.440151e-05,9.419138e-06
1237646794381525090,STAR,17.97407,16.40579,15.61678,15.31425,15.04014,8.600338e-05,1.118802e-05
1237646794381525242,STAR,18.27456,16.51688,15.63467,15.31055,15.00995,-1.920055e-05,8.703931e-06
1237646794381525254,STAR,18.88846,17.16243,16.63293,16.46195,16.21572,0.0001426025,9.98327e-06
1237646794381525280,STAR,18.29142,16.58741,15.70286,15.37309,15.07583,-3.993071e-05,8.553311e-06
1237646794381525381,STAR,18.0194,16.45669,16.10229,16.02267,15.8385,0.0001398024,6.930745e-06
1237646794381525663,STAR,18.91398,17.29991,16.86047,16.71959,16.48899,0.0001358177,1.046435e-05
1237646794381525717,STAR,17.75147,16.01705,15.5191,15.34387,15.10079,9.791361e-05,5.849194e-06
1237646794381525854,STAR,18.24115,16.44062,15.50106,15.15514,14.86014,1.894666e-07,7.542841e-06
1237646794381525861,STAR,17.91282,16.20663,15.65358,15.46684,15.22676,2.561834e-05,6.957016e-06
1237646794381526823,STAR,19.22261,17.42237,16.85815,16.66536,16.4063,8.080151e-05,1.265648e-05
1237646794381590948,STAR,18.43528,16.70753,16.29766,16.14382,15.97867,0.000133763,8.555939e-06
1237646794381590960,STAR,19.0932,17.29608,16.36261,15.9329,15.63367,0.0001975074,9.834714e-06
1237646794381591240,STAR,19.02472,17.06,16.30012,15.98225,15.74527,0.0001192702,9.329839e-06
1237646794381591325,STAR,19.03139,17.05303,16.30667,15.95747,15.70204,1.081232e-05,1.026453e-05
1237646794381656524,STAR,19.30723,17.48814,16.54148,16.10498,15.76907,9.829849e-05,9.940232e-06
1237646794381657037,STAR,19.46667,17.50438,16.48555,16.02267,15.67332,0.0003679174,8.425826e-06
1237646794381657184,STAR,19.08396,17.00316,16.06831,15.57281,15.15325,0.0003370335,2.954216e-05
1237646794381721625,STAR,18.09302,16.33454,15.65915,15.3778,15.0937,0.0002003878,6.710236e-06
1237646794381721856,STAR,18.28135,16.47591,15.77972,15.49739,15.27198,7.138581e-05,8.886776e-06
1237646794381723203,STAR,19.53843,17.72238,16.93441,16.62394,16.33103,7.200465e-05,1.839088e-05
1237646795984995639,STAR,19.39129,17.67731,17.00709,16.73273,16.59988,0.0003979078,7.562948e-06
1237646795985060066,STAR,18.98785,17.09505,16.30428,15.99635,15.80884,7.374623e-05,5.664067e-06
1237646795985191746,STAR,18.59759,16.70124,15.89896,15.55525,15.3494,0.0002650518,7.731719e-06
1237646795985191897,STAR,19.0955,17.2784,16.57124,16.30382,16.16857,-0.0001066212,7.071832e-06
1237646795985192423,STAR,19.22786,17.93558,17.49636,17.33153,17.25544,0.0001934425,8.746802e-06
1237646795985323552,STAR,18.74604,16.86678,16.12514,15.82812,15.65305,0.0002272212,6.953896e-06
1237646795985324111,STAR,19.19446,18.22651,17.81172,17.60908,17.55111,0.0007425323,1.189945e-05
1237646795985324522,STAR,19.44888,17.46028,16.44991,15.80769,15.36993,-6.598453e-05,1.371335e-05
1237646795985520016,STAR,19.13572,17.23358,16.55981,16.31119,16.19943,8.702437e-05,6.73432e-06
1237646795985585530,STAR,19.43472,17.87343,17.27279,17.04759,16.95286,9.62929e-05,7.474033e-06
1237646795985650415,STAR,17.94642,16.69634,16.25413,16.10163,16.06095,4.862605e-05,1.363043e-05
1237646795985715607,STAR,18.80796,16.71601,15.89559,15.59827,15.44607,-7.332124e-05,4.548844e-06
1237646795985715773,STAR,18.15776,17.028,16.64152,16.48728,16.41879,0.0001940328,6.448778e-06
1237646795989057626,STAR,18.95676,17.88077,17.53302,17.40388,17.40111,0.0001984766,9.795212e-06
1237646795989058131,STAR,19.08186,17.15814,16.45886,16.2225,16.1116,5.224751e-05,6.593613e-06
1237646795989189214,STAR,18.35019,16.51936,15.81211,15.58271,15.48116,5.239999e-05,6.322619e-06
1237646795989320132,STAR,19.10591,17.19699,16.45913,16.18963,16.05179,0.0001183814,7.582988e-06
1237646795989385840,STAR,18.63882,17.17873,16.71221,16.55802,16.54009,0.000336953,9.223088e-06
1237646795989451725,STAR,19.39507,17.08972,16.11654,15.7341,15.52633,7.703891e-05,6.513081e-06
1237646795989516646,STAR,18.32276,17.25588,16.92952,16.81402,16.79756,0.0001520291,8.77103e-06
1237646795989517202,STAR,19.59242,17.23887,16.29396,15.9313,15.7331,0.0001466548,7.08301e-06
1237646795989582114,STAR,17.38439,16.2072,15.82652,15.69459,15.64553,9.307846e-05,8.043527e-06
1237646795989582271,STAR,18.90058,17.20638,16.61857,16.39916,16.28803,2.696988e-06,6.855896e-06
1237646795989844193,STAR,18.83618,17.00812,16.19534,15.87297,15.70764,-0.0002571014,6.168923e-06
1237646795989844265,STAR,18.55363,16.52979,15.79359,15.54821,15.42572,5.821685e-05,6.537142e-06
1237646795989909860,STAR,18.99907,16.94795,16.18086,15.9296,15.80772,8.261099e-05,6.114345e-06
1237646795989975485,STAR,17.84306,16.68263,16.34871,16.23054,16.22982,4.060672e-05,6.344126e-06
1237646795990040824,STAR,18.35084,17.10897,16.66862,16.49962,16.4746,4.163438e-05,6.808329e-06
1237646795990106157,STAR,18.43099,16.86518,16.3446,16.18831,16.12376,0.0001401636,5.931645e-06
1237646795992072209,STAR,19.43338,18.3204,18.03035,17.92581,17.96264,0.0002974959,1.497545e-05
1237646795992072905,STAR,19.38407,18.24722,17.86752,17.73724,17.72638,4.723884e-05,1.035138e-05
1237646796521670657,STAR,19.16044,16.9609,16.09095,15.78671,15.60187,1.784474e-05,5.494157e-06
1237646796521735535,STAR,18.98888,17.94197,17.50418,17.35024,17.23915,-5.19721e-05,1.004849e-05
1237646796521735876,STAR,19.56853,18.5978,18.10821,17.90302,17.76538,0.0004380428,1.550984e-05
1237646796521736230,STAR,19.14656,17.28596,16.56739,16.30457,16.17801,0.0002698017,6.663389e-06
1237646796521802255,STAR,19.02136,17.64772,17.11617,16.88756,16.78297,0.0004299549,9.034597e-06
1237646796521931153,STAR,19.16194,17.27143,16.47504,16.14705,15.96217,0.000365665,8.360872e-06
1237646796521996447,STAR,18.49319,16.84638,16.13886,15.82599,15.62557,0.0005296845,7.711536e-06
1237646796521997292,STAR,19.53849,17.6541,16.90873,16.61862,16.43065,0.0002202421,7.692343e-06
1237646796522062739,STAR,18.72154,17.38723,16.90524,16.70426,16.61157,0.0003412451,1.037345e-05
1237646796522062818,STAR,18.29047,17.10113,16.78871,16.66946,16.64635,0.0002128605,6.901678e-06
1237646796522063125,STAR,18.79465,17.39686,16.88795,16.69263,16.56407,0.000120111,9.607164e-06
1237646796522063234,STAR,17.96357,16.77009,16.41897,16.28923,16.24328,0.0001039169,9.649129e-06
1237646796522063968,STAR,19.431,17.70671,17.25852,17.05595,16.95578,0.0001172305,8.885398e-06
1237646796522064040,STAR,19.38698,18.2242,17.78765,17.62957,17.56422,0.0001403129,1.075677e-05
1237646796522127433,STAR,19.30139,17.83267,17.25761,17.04431,16.93622,0.0002092744,7.534086e-06
1237646796522127706,STAR,18.7937,16.77955,15.98806,15.67589,15.49505,0.0002411633,6.091279e-06
1237646796522127733,STAR,17.64792,16.47566,16.2043,16.11501,16.09103,0.0002002728,5.198793e-06
1237646796522128138,STAR,18.32075,16.91523,16.42721,16.25028,16.17787,-6.637543e-05,8.560791e-06
1237646796522128271,STAR,17.64041,16.40974,16.00967,15.86348,15.81261,9.413279e-05,7.494707e-06
1237646796522128524,STAR,18.74377,17.13777,16.49818,16.24094,16.10661,0.0001831558,9.067493e-06
1237646796522128628,STAR,17.99587,16.73255,16.28495,16.08749,15.99506,-5.790143e-05,8.44737e-06
1237646796522128756,STAR,18.40511,16.97831,16.43442,16.2287,16.12608,0.0001693281,8.879825e-06
1237646796522193260,STAR,18.02255,16.86298,16.51837,16.40865,16.36459,0.0002275629,6.932757e-06
1237646796522193443,STAR,19.49464,17.19087,16.27807,15.99596,15.84179,7.966682e-05,6.522347e-06
1237646796522193510,STAR,17.23326,15.91404,15.67555,15.61157,15.60172,0.000201365,4.242964e-06
1237646796522193756,STAR,18.92304,17.47473,16.87826,16.6232,16.47255,0.0001070971,1.005953e-05
1237646796522194420,STAR,18.32897,17.37496,16.9288,16.73759,16.63488,-7.150468e-05,9.22152e-06
1237646796522324136,STAR,18.96484,17.17851,16.46603,16.17075,15.9851,4.080792e-05,7.202873e-06
1237646796522324439,STAR,18.6406,17.30498,16.77778,16.56103,16.46949,1.212793e-06,7.740798e-06
1237646796522390671,STAR,18.13201,16.82011,16.31964,16.13513,16.03815,0.0001017141,8.114762e-06
1237646796522455076,STAR,18.51749,16.60229,15.85075,15.55813,15.3844,6.194416e-05,7.060652e-06
1237646796522456251,STAR,18.15078,16.54912,15.90934,15.66327,15.55311,-2.068928e-05,7.020577e-06
1237646796522521016,STAR,18.62163,17.30521,16.80704,16.6445,16.57266,0.0002024732,8.103944e-06
1237646796522586675,STAR,18.82651,16.71269,15.93469,15.68602,15.55082,8.07277e-05,7.062015e-06
1237646796522651784,STAR,19.39052,17.79781,17.15702,16.91521,16.78727,0.0002652388,6.849762e-06
1237646796525797723,STAR,18.35873,17.07852,16.64901,16.49174,16.44466,0.0002686132,8.312087e-06
1237646796525798214,STAR,19.46392,17.68999,17.06914,16.89124,16.80712,0.0001890252,9.169147e-06
1237646796525862942,STAR,18.67979,17.44175,16.98596,16.84643,16.83106,0.0003048455,8.839932e-06
1237646796525863076,STAR,19.49974,17.14011,16.21233,15.92342,15.76156,0.000178027,9.033793e-06
1237646796525994506,STAR,19.21019,17.86763,17.40127,17.26719,17.18653,5.427474e-05,8.284808e-06
1237646796525994981,STAR,19.14515,18.21826,17.84147,17.71594,17.62318,0.0007446344,1.856833e-05
1237646796526125401,STAR,17.6449,16.34325,15.88495,15.72708,15.66983,0.0001825348,7.90179e-06
1237646796526190661,STAR,18.21026,16.60658,16.01699,15.82495,15.73589,2.859666e-05,6.346351e-06
1237646796526191204,STAR,17.45961,16.22139,15.76318,15.59374,15.50937,0.0002296442,6.915887e-06
1237648705673888014,GALAXY,18.68728,17.4031,16.78172,16.42078,16.27817,0.07727623,1.27112e-05
1237648705673953308,STAR,18.87134,18.79049,19.13917,19.33835,19.68394,-5.331471e-05,3.826665e-05
1237648705674543601,GALAXY,19.05172,17.43882,16.62971,16.2274,15.9191,0.1104389,1.401273e-05
1237648705675395430,GALAXY,17.99506,16.678,16.15097,15.88073,15.73127,0.03177469,8.109142e-06
1237648705675919569,STAR,16.54041,15.43929,15.62385,15.77218,15.87764,-0.0006840747,5.070406e-06
1237648705675984916,STAR,18.79351,17.39925,16.86433,16.65697,16.58426,-0.0002225947,9.889687e-06
1237648705676050452,STAR,18.41762,17.0988,16.94185,16.9311,16.94037,-0.000238216,1.132183e-05
1237648705676247180,STAR,18.60774,17.19805,16.64604,16.43614,16.32682,0.0002108225,8.653517e-06
1237648705676378271,GALAXY,19.01035,17.92979,16.98167,16.89604,15.99464,0.02736574,1.078426e-05
1237648705676444008,GALAXY,18.54977,17.37267,16.80487,16.41775,16.20722,0.05464794,6.601719e-06
1237648705676444067,GALAXY,19.1629,17.16931,16.23008,15.75307,15.41447,0.05460164,1.313076e-05
1237648705676444162,GALAXY,18.54347,17.08466,16.35852,15.96377,15.69098,0.04825955,1.457106e-05
1237648705676705841,GALAXY,18.69428,17.3302,16.42399,15.98298,15.6385,0.03130834,5.541342e-06
1237648705676705925,GALAXY,18.14377,16.66851,15.92417,15.51925,15.2169,0.04395078,6.493876e-06
1237648705676705958,STAR,19.08632,19.08371,19.43179,19.69957,19.79335,-0.0004100931,9.878504e-05
1237648705676705969,GALAXY,18.36198,16.29318,15.32339,14.84862,14.50155,0.02783617,1.17979e-05
1237648705676902497,QSO,17.86973,17.21897,16.57364,16.06708,15.83249,0.1163117,3.53196e-05
1237648705676902829,QSO,19.42994,19.19375,18.94831,18.85168,18.76774,1.118934,0.0005134955
1237648705676968324,QSO,19.0048,18.4915,18.01473,17.55717,17.42345,0.09730883,3.26138e-05
1237648705677033584,QSO,19.53531,18.96318,18.7485,18.77695,18.47112,0.7292935,6.057902e-05
1237648705677034085,GALAXY,19.44457,18.40516,18.02253,17.75974,17.67072,0.05819118,4.179019e-06
1237648705677099236,QSO,18.44315,18.17147,17.83987,17.70485,17.71118,1.387164,0.0003324574
1237648705677099366,GALAXY,18.77719,17.25958,16.55681,16.15459,15.89443,0.05608396,1.267614e-05
1237648705677164927,GALAXY,18.78654,17.89189,17.56547,17.33149,17.1989,0.03289048,3.691181e-06
1237648705677230434,STAR,18.99821,17.79794,17.29895,17.12242,17.03471,0.0001310587,1.179203e-05
1237648705677230536,STAR,19.59265,18.19777,17.64018,17.42653,17.28185,-0.0002546401,1.210651e-05
1237648705677295761,QSO,18.40503,18.15761,17.84642,17.9571,18.09239,1.070234,0.0003098238
1237648705677361368,QSO,18.9956,18.77789,18.61991,18.69429,18.5619,0.9531425,0.0002664743
1237648705677427346,GALAXY,19.47588,17.31534,16.31062,15.85262,15.51484,0.08454029,1.804378e-05
1237648705677557802,GALAXY,18.5372,16.4816,15.53869,15.07629,14.74072,0.05618554,1.268052e-05
1237648705677558092,GALAXY,19.54068,17.6832,16.79871,16.38593,16.06911,0.05713054,1.711994e-05
1237648705677558140,GALAXY,18.76349,16.80544,15.88835,15.45005,15.12444,0.0550063,1.045411e-05
1237648705677558167,GALAXY,19.31421,18.15649,17.6449,17.31055,17.16339,0.05634584,7.421344e-06
1237648705677558336,GALAXY,19.32169,17.33581,16.43803,16.01143,15.68907,0.05603799,1.516523e-05
1237648705677558388,GALAXY,19.22577,17.26099,16.36179,15.92352,15.59201,0.0564404,1.171517e-05
1237648705677558405,GALAXY,19.41991,18.39541,17.53428,17.09734,16.80646,0.1939075,9.645892e-06
1237648705677623407,STAR,17.26918,16.10055,15.90826,15.86672,15.87972,0.000208029,7.198016e-06
1237648705677688913,STAR,18.3186,16.96979,16.43498,16.23273,16.14191,0.0002178295,8.016865e-06
1237648705677689059,GALAXY,19.24414,17.54974,16.70332,16.26641,15.96996,0.05644828,8.014987e-06
1237648705677689065,GALAXY,18.16368,16.85085,16.24228,15.89146,15.65723,0.05628066,8.913513e-06
1237648705677754492,STAR,19.18838,18.64974,18.62334,18.42484,18.01396,-0.0003644033,6.773217e-05
1237648705677754515,STAR,18.54891,17.36102,17.23661,17.24271,17.25496,9.434466e-05,1.230318e-05
1237648705677820519,GALAXY,18.47635,17.45618,16.98941,16.62506,16.4874,0.05746473,6.228199e-06
1237648705677885708,GALAXY,18.08943,16.12233,15.17001,14.72889,14.39744,0.04767711,1.144395e-05
1237648705677886008,GALAXY,18.74437,17.50784,16.95031,16.60725,16.46747,0.0477161,7.440034e-06
1237648705677886067,QSO,19.33173,19.26295,18.68115,18.60331,18.5541,1.301787,0.0001824453
1237648705677886135,GALAXY,18.22957,16.7779,16.0428,15.66838,15.3996,0.04829309,9.646815e-06
1237648705677951303,STAR,18.54716,17.32021,16.86319,16.7023,16.63993,-0.0004033196,9.825723e-06
1237648705677951792,GALAXY,18.84283,17.65291,17.28355,17.04971,16.99983,0.03242692,5.276216e-06
1237648705678082585,GALAXY,19.07681,17.02625,16.10199,15.67309,15.35204,0.05856128,1.166786e-05
1237648705678082675,GALAXY,19.15145,17.31904,16.52467,16.10921,15.82753,0.05911322,2.112464e-05
1237648705678082703,GALAXY,18.73528,18.02868,17.45488,17.17148,17.07285,0.03578726,2.227782e-05
1237648705678147694,STAR,18.10606,16.61596,16.00913,15.79001,15.66534,2.727371e-05,7.475184e-06
1237648705678148045,GALAXY,18.61567,16.89916,16.12132,15.72055,15.44671,0.05697612,1.240417e-05
1237648705678213240,STAR,17.4314,16.11559,15.95347,15.96265,16.02513,-9.025535e-05,6.157321e-06
1237648705678213667,QSO,19.07129,17.32684,16.43453,15.88905,15.53926,0.056787,2.200651e-05
1237648705678279073,QSO,19.36943,19.32585,19.10126,18.75412,18.73582,0.2272165,4.391831e-05
1237648705678279110,GALAXY,18.45341,17.33138,16.76178,16.46068,16.22156,0.03206984,6.312832e-06
1237648705678279117,GALAXY,19.31778,17.73863,16.90496,16.47995,16.13046,0.05703778,1.919515e-05
1237648705678475432,STAR,18.26267,16.94486,16.43729,16.25195,16.17384,-0.0001370643,9.751411e-06
1237648705678475568,STAR,18.68909,17.43382,17.27833,17.25056,17.32769,-0.0001540206,9.35661e-06
1237648705678540909,STAR,18.33702,17.1004,16.89635,16.83694,16.82063,-0.0008205004,8.117788e-06
1237648705678541173,GALAXY,19.52633,18.24258,17.54817,17.1321,16.92668,0.1465684,8.177049e-06
1237648705678672349,GALAXY,19.02418,18.18349,17.78483,17.57411,17.54144,0.1631218,4.971036e-06
1237648705678737534,STAR,17.82682,16.47814,15.96699,15.77581,15.71481,1.474855e-05,8.568726e-06
1237648705678737598,STAR,19.12787,17.83926,17.27582,17.0316,16.92655,-0.0004109301,1.160144e-05
1237648705678737669,STAR,18.15461,16.94171,16.43143,16.22915,16.13281,-0.0001212271,1.328811e-05
1237648705678738089,STAR,19.40014,18.36313,18.07131,17.97763,17.9752,-0.0003395618,1.836208e-05
1237648705678934133,GALAXY,18.33782,17.30782,16.81909,16.5623,16.35722,0.02995974,5.702861e-06
1237648705678999857,GALAXY,18.65927,17.77797,17.84545,17.75131,17.76937,0.03313043,6.070401e-06
1237648705679065271,STAR,16.75104,15.60677,15.42731,15.39499,15.41338,7.262093e-05,5.408135e-06
1237648705679196958,GALAXY,19.07389,17.92008,17.41533,17.10143,16.94045,0.07353891,5.832826e-06
1237648705679196975,GALAXY,19.0555,18.00385,17.5516,17.32663,17.13672,0.03140147,5.773017e-06
1237648705679261777,STAR,17.64153,16.44684,15.99648,15.82758,15.76418,-0.0002648644,7.178289e-06
1237648705679261795,STAR,18.06567,16.96767,16.86127,16.87382,16.93576,0.0001620386,8.21197e-06
1237648705679262064,GALAXY,17.70312,16.67862,16.37868,16.23093,16.12613,0.02428168,4.995559e-06
1237648705679262457,GALAXY,17.48382,16.37646,15.82946,15.55844,15.32345,0.02468596,7.434189e-06
1237648705679393331,STAR,19.55712,18.38851,18.22803,18.22246,18.19687,-0.0007118007,2.064873e-05
1237648705679524005,STAR,16.68217,15.46755,15.35529,15.3496,15.39229,3.686554e-05,4.289764e-06
1237648705679655468,GALAXY,19.25278,17.47154,16.47248,16.03907,15.69492,0.1228459,2.816076e-05
1237648705679720625,STAR,17.33079,16.06984,15.5428,15.31548,15.29379,0.0001766732,7.26106e-06
1237648705679786077,STAR,17.38541,17.06055,17.35628,17.61768,17.87496,-0.0003756749,9.289979e-06
1237648705679852376,GALAXY,18.76445,17.15516,16.31885,15.90765,15.58735,0.1005859,1.37903e-05
1237648705679917612,GALAXY,18.36074,16.66778,15.80013,15.34212,14.96784,0.03250279,5.512066e-06
1237648720130474215,STAR,18.99148,16.72154,15.82707,15.49165,15.33046,0.000130971,6.19879e-06
1237648720130736349,STAR,17.8756,16.45198,15.13957,15.72997,15.59362,0.0001982329,8.289963e-06
1237648720130736731,STAR,17.86517,16.37952,15.20008,15.65395,15.52632,0.0001437503,7.520443e-06
1237648720132046961,STAR,18.77614,17.72443,17.46283,17.36801,17.38572,0.0003044403,1.494532e-05
1237648720132046967,STAR,18.6593,17.72107,17.44394,17.3479,17.33621,0.0005129756,2.685799e-05
1237648720132047246,STAR,17.46588,16.37006,16.07014,15.97802,15.98003,0.0002580059,7.435334e-06
1237648720132047284,STAR,16.21634,15.14105,14.91193,14.8469,14.87341,0.0002429798,8.313305e-06
1237648720132112453,STAR,16.46563,15.36463,15.16307,15.12562,15.15392,0.000117761,9.79425e-06
1237648720132112516,STAR,16.19304,15.09846,14.88113,14.82975,14.84094,0.0001414214,6.952566e-06
1237648720132112544,STAR,15.64383,14.49604,14.38593,14.39193,14.44788,-2.161369e-05,4.796052e-06
1237648704583237808,GALAXY,18.9843,17.99584,17.38561,17.02946,16.80828,0.1418375,8.668939e-06
1237648704583237830,GALAXY,18.95616,17.45461,16.70407,16.32387,16.09211,0.09509806,3.252604e-05
1237648704583237838,STAR,19.58731,18.05404,17.49117,17.29261,17.21464,-0.0002512773,7.339611e-06
1237648704583237865,STAR,19.47504,18.0896,17.57031,17.39941,17.32092,-9.026592e-05,7.887304e-06
1237648704583237880,STAR,19.28084,18.32606,17.93536,17.77627,17.76175,0.0003682238,1.249248e-05
1237648704583303187,STAR,18.24406,17.30454,17.03779,16.92361,16.90912,0.0001690512,7.845258e-06
1237648704583303236,QSO,18.03047,17.68416,17.49357,17.52662,17.60713,1.317525,0.0001220288
1237648704583303239,STAR,19.20199,18.00288,17.49468,17.29152,17.19157,0.000375382,1.350916e-05
1237648704583303284,STAR,19.59845,18.63664,18.39768,18.31146,18.34745,0.0001259065,1.406014e-05
1237648704583303331,GALAXY,18.91737,18.224,17.8749,17.50317,17.52587,0.1789411,5.811346e-06
1237648704583303375,GALAXY,17.08247,15.78712,15.19969,14.84534,14.63072,0.04100105,1.055895e-05
1237648704583368707,STAR,18.55794,17.17183,16.64244,16.44658,16.37486,-2.805076e-07,8.054423e-06
1237648704583368755,STAR,18.3562,17.40799,17.09281,17.0759,17.06308,0.0001363568,8.845629e-06
1237648704583368774,STAR,17.26483,16.35066,16.14175,16.06928,16.05388,-3.212356e-05,6.73859e-06
1237648704583368851,GALAXY,19.13596,17.80883,17.23292,16.8768,16.662,0.08269752,1.100852e-05
1237648704583368856,GALAXY,19.11018,17.95348,17.59488,17.34108,17.26692,0.04104793,6.880217e-06
1237648704583368861,GALAXY,18.70977,16.62203,15.64068,15.19747,14.84239,0.09594817,1.911983e-05
1237648704583368877,GALAXY,19.11804,17.1312,16.1535,15.72389,15.35944,0.09676105,2.139357e-05
1237648704583368908,GALAXY,18.83638,17.39555,16.49948,16.0048,15.72138,0.09618144,1.289058e-05
1237648704583369017,GALAXY,19.09867,17.81825,17.37072,17.00765,16.85605,0.06395097,1.279828e-05
1237648704583434243,STAR,15.92995,14.91085,14.60309,14.47871,14.45617,0.0003189713,9.904173e-06
1237648704583434255,STAR,16.65871,15.13569,14.56479,14.3253,14.21494,-0.000109832,9.110602e-06
1237648704583434256,STAR,19.19894,18.26803,17.66884,17.64727,17.47269,-8.928933e-05,7.944664e-06
1237648704583434281,STAR,18.87595,17.73546,17.73569,17.86094,17.97823,0.0004271635,8.739293e-06
1237648704583434287,STAR,17.05849,15.14343,14.45431,14.5733,14.04959,-0.0001186891,1.02212e-05
1237648704583434335,STAR,18.30667,16.84401,16.34513,16.15845,16.08654,-0.0001156501,9.021384e-06
1237648704583434338,STAR,18.15152,17.17202,16.83471,16.69203,16.66827,0.0003154598,7.386441e-06
1237648704583434356,GALAXY,18.98199,17.73667,17.20163,16.84347,16.66492,0.07222124,8.078659e-06
1237648704583434360,STAR,19.33236,18.10799,17.58607,17.38719,17.28296,4.923241e-05,1.198206e-05
1237648704583434392,GALAXY,17.81769,15.91114,15.04965,14.63468,14.33058,0.0637345,1.337637e-05
1237648704583434472,STAR,19.58599,18.69442,18.41576,18.30093,18.30452,2.502934e-05,1.794479e-05
1237648704583434506,QSO,19.31595,19.10067,19.08454,18.89931,18.78361,0.7030541,0.0004293855
1237648704583434629,GALAXY,19.2354,17.98808,17.51303,17.21605,17.09689,0.08101288,1.386877e-05
1237648704583499789,STAR,17.2258,16.27387,15.98402,15.85825,15.84318,0.0002470831,5.862295e-06
1237648704583499804,STAR,17.83023,16.55741,16.00142,15.74677,15.61609,0.0001994233,7.027341e-06
1237648704583499807,STAR,18.29914,16.7891,16.21892,16.004,15.90297,1.787963e-05,6.993745e-06
1237648704583499813,STAR,17.69349,16.68576,16.38234,16.26258,16.22414,0.0003844043,6.923698e-06
1237648704583499840,STAR,18.9896,18.08139,17.81818,17.68899,17.68163,0.0004739081,1.013559e-05
1237648704583499846,STAR,19.23703,17.67192,17.10418,16.88391,16.80098,1.745131e-05,7.162346e-06
1237648704583499850,STAR,17.51982,16.52347,16.23011,16.11354,16.07594,-0.00034459,7.042596e-06
1237648704583565327,STAR,17.05072,16.07851,15.81025,15.72293,15.69056,0.0003114037,5.614624e-06
1237648704583565337,STAR,17.30114,15.52891,14.93285,14.77883,14.70907,-4.036603e-05,6.685864e-06
1237648704583565386,STAR,16.82375,15.84951,15.51173,15.37295,15.32946,0.0006072172,9.048254e-06
1237648704583565389,STAR,17.0993,15.57104,14.98674,14.77918,14.66958,5.879364e-05,9.340089e-06
1237648704583565410,STAR,19.0635,17.07914,16.21162,15.86859,15.69082,0.0008405954,1.674902e-05
1237648704583565434,STAR,18.68336,17.7781,17.54988,17.46943,17.47075,0.000911073,1.362169e-05
1237648704583565450,STAR,18.59043,17.67612,17.42911,17.3334,17.31746,0.0002958925,9.420074e-06
1237648704583565496,STAR,19.13862,18.18741,17.97,17.87355,17.853,-0.0004645091,1.121594e-05
1237648704583565512,GALAXY,19.28312,17.36975,16.44178,16.02733,15.71826,0.08414438,1.94784e-05
1237648704583630890,STAR,19.32662,18.27287,17.80701,17.63721,17.5769,-4.502886e-05,1.255741e-05
1237648704583630894,STAR,17.22451,16.30646,16.06142,15.98021,15.95195,-0.0001176173,5.924581e-06
1237648704583630926,GALAXY,18.83544,17.92312,17.65671,17.40733,17.38681,0.07241754,5.759063e-06
1237648704583630938,STAR,19.59436,18.21319,17.62411,17.3997,17.27707,-0.0006681691,1.127571e-05
1237648704583630965,GALAXY,19.20066,18.07387,17.49097,17.12551,16.8873,0.09806354,6.188583e-06
1237648704583696423,STAR,18.04836,16.4919,15.90992,15.69405,15.60246,-4.689447e-05,6.410455e-06
1237648704583696556,GALAXY,18.93314,17.7516,17.22419,16.91107,16.70231,0.08155919,1.065178e-05
1237648704583696589,STAR,19.26318,18.13683,17.71909,17.56659,17.52499,-3.455052e-05,1.338652e-05
1237648704583761997,STAR,18.17033,17.14717,16.82215,16.70669,16.67414,0.0001110679,8.943211e-06
1237648704583762038,GALAXY,19.27674,18.1486,17.54321,17.18248,16.97894,0.1518807,7.150479e-06
1237648704583827470,STAR,17.70448,16.17662,15.6277,15.44059,15.37948,-0.000231474,8.411652e-06
1237648704583827495,STAR,16.86119,15.58894,15.08466,14.87305,14.78291,0.0003537528,8.665157e-06
1237648704583827560,STAR,18.98432,17.59843,17.09209,16.91911,16.85103,0.0002132286,6.692946e-06
1237648704583827569,STAR,16.50064,15.49119,15.11166,14.96171,14.92719,-0.0001526772,9.131861e-06
1237648704583827583,STAR,18.49984,17.60445,17.32014,17.21494,17.20884,0.0003790255,8.821745e-06
1237648704583827621,GALAXY,19.21808,17.87149,17.14873,16.70148,16.43555,0.06665725,7.331181e-06
1237648704583827658,STAR,19.57583,18.34437,17.84418,17.6316,17.53842,-3.759544e-05,8.74607e-06
1237648704583893030,QSO,18.38978,18.02889,18.12785,18.13147,18.09293,0.7328859,7.668894e-05
1237648704583893040,STAR,19.28083,17.89408,17.3712,17.1684,17.10137,4.524805e-05,7.787941e-06
1237648704583893044,STAR,17.42174,15.91052,15.31416,15.07866,14.98367,-3.898816e-05,8.303369e-06
1237648704583893135,GALAXY,19.44781,17.38915,16.44744,16.0182,15.70306,0.08220764,1.883674e-05
1237648704583958562,STAR,18.41603,17.40368,17.11084,16.98485,16.99989,0.0001628144,8.363134e-06
1237648704583958580,STAR,17.67764,16.15086,15.64818,15.47217,15.43299,-5.791206e-05,6.434776e-06
1237648704583958619,STAR,18.84659,17.72747,17.29601,17.07508,16.98334,0.0004291066,8.62351e-06
1237648704583958663,STAR,19.53342,18.1664,17.62943,17.40845,17.30873,0.000361128,1.245116e-05
1237648704583958706,GALAXY,19.20909,17.98605,17.54325,17.26686,17.16547,0.09879459,1.206736e-05
1237648704584024137,STAR,18.58712,17.08974,16.5468,16.33043,16.22425,-0.0002519195,9.581048e-06
